mutated features,condition,odd ratio,p value
C0343,2 3-butanediol,0.0,1.0
C0343,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
C0343,30 celsius,0.0,1.0
C0343,37 celsius,1.1012396172587038,0.617627969442559
C0343,42 celsius,0.0,1.0
C0343,511145,1.0,0.6513578610475075
C0343,CaCl2(0.1),1.0,0.6513578610475075
C0343,D-2-deoxyribose,11.462762111352133,0.09213954409226349
C0343,D-arabinose,0.0,1.0
C0343,D-lyxose,0.0,1.0
C0343,GMOS,0.0,1.0
C0343,KH2PO4(3) Na2HPO4(6.8),1.0,0.6513578610475075
C0343,M9,1.0,0.6513578610475075
C0343,MgSO4(0.24),1.0,0.6513578610475075
C0343,NH4Cl(1),1.0,0.6513578610475075
C0343,NaCl(0.5g/L) trace elements,2.0595786999367145,0.4087954577753075
C0343,U-13C glucose(2),0.0,1.0
C0343,WT,1.155940789994459,0.6006437132836928
C0343,acetate(4),0.0,1.0
C0343,adipic acid,0.0,1.0
C0343,coumaric acid,0.0,1.0
C0343,glucose(2),0.0,1.0
C0343,glucose(4),0.0,1.0
C0343,glucose(4) or acetate(4),0.0,1.0
C0343,glucose(4) or glycerol(2.5),0.0,1.0
C0343,glucose(4) or xylose(4),0.0,1.0
C0343,glutaric acid,0.0,1.0
C0343,glycerol(2.5),0.0,1.0
C0343,glycine(2mM)  L-Serine(varying concentration)  trace elements(X1)  Wolfe's vitamin solution.,0.0,1.0
C0343,hexamethylenediamine,0.0,1.0
C0343,hexanoic acid,0.0,1.0
C0343,isobutyric acid,0.0,1.0
C0343,m-tartrate,0.0,1.0
C0343,monomethyl succinate,0.0,1.0
C0343,n-butanol,0.0,1.0
C0343,octanoic acid,0.0,1.0
C0343,propanediol,0.0,1.0
C0343,putrescine,0.0,1.0
C0343,xylose(4),0.0,1.0
C0343,Δgnd,0.0,1.0
C0343,Δpgi,0.0,1.0
C0343,Δpts,0.0,1.0
C0343,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
C0343,Δsdh,0.0,1.0
C0343,Δtpi,0.0,1.0
C0362,2 3-butanediol,0.0,1.0
C0362,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
C0362,30 celsius,0.0,1.0
C0362,37 celsius,1.1012396172587038,0.617627969442559
C0362,42 celsius,0.0,1.0
C0362,511145,1.0,0.6513578610475075
C0362,CaCl2(0.1),1.0,0.6513578610475075
C0362,D-2-deoxyribose,11.462762111352133,0.09213954409226349
C0362,D-arabinose,0.0,1.0
C0362,D-lyxose,0.0,1.0
C0362,GMOS,0.0,1.0
C0362,KH2PO4(3) Na2HPO4(6.8),1.0,0.6513578610475075
C0362,M9,1.0,0.6513578610475075
C0362,MgSO4(0.24),1.0,0.6513578610475075
C0362,NH4Cl(1),1.0,0.6513578610475075
C0362,NaCl(0.5g/L) trace elements,2.0595786999367145,0.4087954577753075
C0362,U-13C glucose(2),0.0,1.0
C0362,WT,1.155940789994459,0.6006437132836928
C0362,acetate(4),0.0,1.0
C0362,adipic acid,0.0,1.0
C0362,coumaric acid,0.0,1.0
C0362,glucose(2),0.0,1.0
C0362,glucose(4),0.0,1.0
C0362,glucose(4) or acetate(4),0.0,1.0
C0362,glucose(4) or glycerol(2.5),0.0,1.0
C0362,glucose(4) or xylose(4),0.0,1.0
C0362,glutaric acid,0.0,1.0
